Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyElementPresent,Chrome 69.0.3497.100,verify redirect to step 2,2018-10-15 16:33:33,2018-10-15 16:33:33,0.083s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-15 16:33:33,2018-10-15 16:33:34,0.971s,PASSED
,,,,,,
Test Cases/Digital Loyalty/Sign Up/DigSig_11_Verify that filling correct data when checking Same as business checkbox at step 2,Chrome 69.0.3497.100,,2018-10-15 16:33:34,2018-10-15 16:33:53,18.745s,PASSED
comment,Chrome 69.0.3497.100,,2018-10-15 16:33:35,2018-10-15 16:33:35,0.016s,PASSED
customkeyword.CommonKeyword.OpenBrowser,Chrome 69.0.3497.100,Navigate to sign up page,2018-10-15 16:33:35,2018-10-15 16:33:42,7.642s,PASSED
setText,Chrome 69.0.3497.100,input phone,2018-10-15 16:33:42,2018-10-15 16:33:43,0.589s,PASSED
setText,Chrome 69.0.3497.100,input first name,2018-10-15 16:33:43,2018-10-15 16:33:43,0.433s,PASSED
"Statement - var_DigSignedUpEmail = CustomKeywords.customkeyword.CommonKeyword.GenerateEmail(""Digital"")",Chrome 69.0.3497.100,get unique email,2018-10-15 16:33:43,2018-10-15 16:33:43,0.002s,PASSED
setText,Chrome 69.0.3497.100,get unique email,2018-10-15 16:33:43,2018-10-15 16:33:44,0.819s,PASSED
setText,Chrome 69.0.3497.100,input last name,2018-10-15 16:33:44,2018-10-15 16:33:45,0.516s,PASSED
setText,Chrome 69.0.3497.100,input business name,2018-10-15 16:33:45,2018-10-15 16:33:45,0.517s,PASSED
setText,Chrome 69.0.3497.100,input street,2018-10-15 16:33:45,2018-10-15 16:33:46,0.449s,PASSED
setText,Chrome 69.0.3497.100,input city,2018-10-15 16:33:46,2018-10-15 16:33:46,0.465s,PASSED
setText,Chrome 69.0.3497.100,input postal code,2018-10-15 16:33:46,2018-10-15 16:33:46,0.399s,PASSED
click,Chrome 69.0.3497.100,submit form,2018-10-15 16:33:46,2018-10-15 16:33:49,2.583s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,verify redirect to step 2,2018-10-15 16:33:49,2018-10-15 16:33:49,0.062s,PASSED
check,Chrome 69.0.3497.100,check same as business checkbox,2018-10-15 16:33:49,2018-10-15 16:33:49,0.288s,PASSED
click,Chrome 69.0.3497.100,submit to get data of textbox,2018-10-15 16:33:49,2018-10-15 16:33:51,1.831s,PASSED
